name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
pseudo,44983,A small mocking library for Rust,2017-03-24 03:27:06.416986,2018-08-26 21:48:24.280271,https://docs.rs/pseudo,,https://github.com/iredelmeier/pseudo,9123
power-assert,44981,Power Assert in Rust. Provides better assertion message.,2015-08-30 14:17:00.030941,2016-02-27 14:10:26.257767,,,https://github.com/gifnksm/power-assert-rs,2964
topo_sort,44945,A 'cycle-safe' topological sort for a set of nodes with dependencies,2021-12-03 03:59:44.984712,2021-12-17 21:38:48.282051,https://docs.rs/topo_sort,,https://github.com/nu11ptr/topo_sort,491551
pic8259,44938,Abstractions for the 8259 and 8259A interrupt controllers,2021-05-17 10:25:35.818998,2021-08-22 14:20:46.185614,,,https://github.com/rust-osdev/pic8259,398519
polyline,44872,Encoder and decoder for the Google Encoded Polyline format,2016-06-21 17:47:28.056847,2021-02-05 14:52:38.994361,,,https://github.com/georust/polyline,5446
wrangler,44834,Command-line interface for all things Cloudflare Workers,2019-03-19 15:47:36.525342,2022-09-07 18:14:05.612679,,,https://github.com/cloudflare/wrangler,122484
azure_identity,44817,Rust wrappers around Microsoft Azure REST APIs - Azure identity helper crate,2022-01-24 20:24:27.85507,2022-09-16 20:41:52.272973,https://docs.rs/azure_identity,https://github.com/azure/azure-sdk-for-rust,https://github.com/azure/azure-sdk-for-rust,520384
iron-cors,44794,A CORS middleware implementation for Iron.,2017-01-14 23:41:39.40882,2018-06-14 09:39:36.251006,https://docs.rs/iron-cors/,https://github.com/dbrgn/iron-cors-rs/,https://github.com/dbrgn/iron-cors-rs/,8070
symphonia-codec-vorbis,44789,Pure Rust Vorbis decoder (a part of project Symphonia).,2021-09-21 00:34:58.282764,2022-07-17 03:36:34.10816,,https://github.com/pdeljanov/Symphonia,https://github.com/pdeljanov/Symphonia,454228
speedy-derive,44760,"A fast binary serialization framework, #[derive(Readable, Writable)] support",2017-12-06 21:31:02.009915,2022-08-25 06:47:04.834269,https://docs.rs/speedy/*/speedy/,https://github.com/koute/speedy,https://github.com/koute/speedy,41988
tin-summer,44740,Command-line tool to find build artifacts and thing occupying space on your computer. Shatters re...,2017-06-20 23:17:03.889071,2021-02-24 15:04:52.707362,https://github.com/vmchale/tin-summer#README,https://github.com/vmchale/tin-summer,https://github.com/vmchale/tin-summer,19855
soup,44681,"Inspired by the python library BeautifulSoup, this is a layer on top of html5ever that adds a dif...",2018-11-02 01:51:11.242386,2021-03-25 14:40:17.706823,https://docs.rs/soup,,https://gitlab.com/pwoolcoc/soup.git,94142
tectonic,44659,"A modernized, complete, embeddable TeX/LaTeX engine. Tectonic is forked from the XeTeX extension ...",2017-03-05 17:39:38.108684,2022-04-27 03:17:30.513842,https://docs.rs/tectonic,https://tectonic-typesetting.github.io/,https://github.com/tectonic-typesetting/tectonic/,8833
glean-core,44645,A modern Telemetry library,2019-09-24 13:42:48.17546,2022-09-08 11:37:42.466524,,,https://github.com/mozilla/glean,167282
proc_macro_tools,44641,Tools for writing procedural macroses. ,2022-01-15 16:10:28.042567,2022-07-18 03:13:42.556166,https://docs.rs/proc_macro_tools,https://github.com/Wandalen/wTools/tree/master/module/rust/proc_macro_tools,https://github.com/Wandalen/wTools/tree/master/module/rust/proc_macro_tools,514395
civet-sys,44598,Native bindings to the libcivetweb library,2014-11-13 06:57:54.341834,2018-03-30 01:42:50.138226,,,https://github.com/jtgeibel/rust-civet,91
combine-language,44589,"Extra parser combinators, useful for parsing programming languages.",2015-07-17 14:32:56.372325,2020-12-14 18:01:56.787638,https://marwes.github.io/combine-language/combine_language/index.html,,https://github.com/Marwes/combine-language,2625
x509,44587,X.509 certificate serialization,2018-06-14 15:36:17.823636,2021-01-11 04:53:21.28701,,,https://github.com/str4d/x509.rs,70100
multi_mut,44566,Methods on HashMap and BTreeMap for safely getting multiple mutable references to the contained v...,2017-01-17 02:42:19.825987,2017-01-17 04:01:25.015012,,,https://github.com/golddranks/multi_mut,8104
icu_provider_macros,44558,Proc macros for ICU data providers,2021-07-29 23:44:19.74996,2022-08-05 00:41:46.228953,,,https://github.com/unicode-org/icu4x,429052
legion_codegen,44549,#[system] proc macro for the legion library,2020-09-06 19:45:48.781075,2021-02-25 08:16:04.073354,,,https://github.com/TomGillen/legion,285510
clams,44526,Clams help building shells,2018-03-12 14:54:34.693358,2019-06-06 10:56:46.321934,,,https://github.com/lukaspustina/clams.git,55172
fermium,44492,An opinionated crate of SDL2 bindings.,2019-04-10 09:27:32.888885,2022-07-17 06:16:02.92318,,,https://github.com/Lokathor/fermium,126961
puffin-imgui,44426,ImGui GUI bindings for the Puffin profiler,2020-08-10 10:59:26.867484,2022-06-23 08:20:27.711222,,https://github.com/EmbarkStudios/puffin,https://github.com/EmbarkStudios/puffin,275013
unic-ucd-name,44420,UNIC — Unicode Character Database — Name,2017-09-22 19:38:50.009711,2019-03-03 05:12:06.848374,,,https://github.com/open-i18n/rust-unic/,32686
pgx-macros,44402,Proc Macros for 'pgx',2020-01-09 09:30:10.711461,2022-06-01 20:45:30.816386,https://docs.rs/pgx-macros,https://github.com/zombodb/pgx,https://github.com/zombodb/pgx,196875
pistoncore-event,44380,A library for flexible generic event threading,2014-12-11 12:58:15.120958,2015-12-16 00:01:56.610782,,https://github.com/PistonDevelopers/piston,https://github.com/PistonDevelopers/piston.git,516
former,44367,Former - variation of builder pattern. ,2021-11-23 16:04:07.369546,2022-07-15 07:20:47.507439,https://docs.rs/former,https://github.com/Wandalen/wTools/tree/master/module/rust/former,https://github.com/Wandalen/wTools/tree/master/module/rust/former,486314
vec3,44333,vec3,2017-08-17 19:28:20.173288,2018-08-19 18:11:55.596978,,https://gitlab.com/nathanfaucett/rs-gmath,https://gitlab.com/nathanfaucett/rs-gmath.git,27907
regex_generate,44329,Use regular expressions to generate text. ,2017-05-30 03:32:42.259649,2019-08-27 23:44:28.872933,https://docs.rs/regex_generate,https://github.com/CryptArchy/regex_generate,https://github.com/CryptArchy/regex_generate,16858
datadriven,44325,Rewritable table-driven testing,2020-05-29 17:52:20.992814,2021-06-29 04:07:44.262651,,https://github.com/justinj/datadriven,https://github.com/justinj/datadriven,247436
