name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
syn,1096229139,Parser for Rust source code,2016-09-07 15:22:40.491981+00,2025-08-16 00:34:01.909482+00,https://docs.rs/syn,,https://github.com/dtolnay/syn,6274
hashbrown,869905270,A Rust port of Google's SwissTable hash map,2018-10-29 14:28:15.767024+00,2025-08-29 11:55:49.044943+00,,,https://github.com/rust-lang/hashbrown,93342
bitflags,812882279,A macro to generate structures which behave like bitflags. ,2015-01-15 08:35:24.901276+00,2025-09-02 06:12:03.750699+00,https://docs.rs/bitflags,https://github.com/bitflags/bitflags,https://github.com/bitflags/bitflags,793
proc-macro2,756912885,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries ...,2017-07-06 01:01:58.064887+00,2025-08-16 20:10:39.182331+00,https://docs.rs/proc-macro2,,https://github.com/dtolnay/proc-macro2,22124
quote,738759223,Quasi-quoting macro quote!(...),2016-09-03 05:42:05.484129+00,2025-09-29 01:09:34.45789+00,https://docs.rs/quote/,,https://github.com/dtolnay/quote,6224
base64,736585750,encodes and decodes base64 as bytes or utf8,2015-12-04 01:07:31.173829+00,2024-04-30 23:16:40.343739+00,https://docs.rs/base64,,https://github.com/marshallpierce/rust-base64,3569
libc,733722558,Raw FFI bindings to platform libraries like libc.,2015-01-15 20:22:13.100871+00,2025-09-23 11:00:57.646812+00,,,https://github.com/rust-lang/libc,795
rand_core,707866154,Core random number generator traits and tools for implementation. ,2017-09-14 12:02:18.709038+00,2025-03-01 14:01:08.459817+00,https://docs.rs/rand_core,https://rust-random.github.io/book,https://github.com/rust-random/rand,31712
regex-syntax,704295926,A regular expression parser.,2015-05-27 23:19:16.839117+00,2025-08-24 13:39:55.267706+00,https://docs.rs/regex-syntax,https://github.com/rust-lang/regex/tree/master/regex-syntax,https://github.com/rust-lang/regex,2233
rand,692557936,Random number generators and other randomness functionality. ,2015-02-03 06:17:14.147783+00,2025-09-11 07:11:18.682315+00,https://docs.rs/rand,https://rust-random.github.io/book,https://github.com/rust-random/rand,1339
getrandom,687929523,A small cross-platform library for retrieving random data from system source,2019-01-19 12:56:49.379182+00,2025-05-09 09:58:14.182579+00,https://docs.rs/getrandom,,https://github.com/rust-random/getrandom,109516
serde,657311133,A generic serialization/deserialization framework,2014-12-05 20:20:39.487502+00,2025-09-27 16:51:35.265429+00,https://docs.rs/serde,https://serde.rs,https://github.com/serde-rs/serde,463
cfg-if,657064041,A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structu...,2015-07-08 01:11:24.48504+00,2025-08-19 19:33:21.150447+00,,,https://github.com/rust-lang/cfg-if,2556
indexmap,653266096,A hash table with consistent order and fast iteration.,2018-01-30 17:59:48.053105+00,2025-09-18 17:01:44.859008+00,https://docs.rs/indexmap/,,https://github.com/indexmap-rs/indexmap,48918
itertools,646848245,"Extra iterator adaptors, iterator methods, free functions, and macros.",2014-11-21 19:56:41.399795+00,2024-12-31 12:32:06.925445+00,https://docs.rs/itertools/,,https://github.com/rust-itertools/itertools,314
autocfg,609315561,Automatic cfg for Rust compiler features,2018-05-30 18:21:35.379916+00,2025-06-17 22:16:28.597704+00,https://docs.rs/autocfg/,,https://github.com/cuviper/autocfg,67825
serde_derive,604470935,"Macros 1.1 implementation of #[derive(Serialize, Deserialize)]",2016-08-29 05:22:31.552019+00,2025-09-27 16:51:16.528484+00,https://serde.rs/derive.html,https://serde.rs,https://github.com/serde-rs/serde,6169
itoa,597840075,Fast integer primitive to string conversion,2016-06-25 21:50:33.832+00,2025-03-03 23:42:45.916886+00,https://docs.rs/itoa,,https://github.com/dtolnay/itoa,5486
memchr,597204566,"Provides extremely fast (uses SIMD on x86_64, aarch64 and wasm32) routines for 1, 2 or 3 byte sea...",2015-06-11 23:00:13.079973+00,2025-09-25 12:47:49.866757+00,https://docs.rs/memchr/,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,2364
