created_at,description,documentation,downloads,homepage,id,name,repository,updated_at
2015-02-03 06:17:14.147783,Random number generators and other randomness functionality. ,https://docs.rs/rand,149414055,https://rust-random.github.io/book,1339,rand,https://github.com/rust-random/rand,2022-02-14 08:37:47.035988
2016-09-07 15:22:40.491981,Parser for Rust source code,https://docs.rs/syn,147892895,,6274,syn,https://github.com/dtolnay/syn,2022-09-19 00:19:02.780119
2017-09-14 12:02:18.709038,Core random number generator traits and tools for implementation. ,https://docs.rs/rand_core,140061304,https://rust-random.github.io/book,31712,rand_core,https://github.com/rust-random/rand,2022-09-15 13:23:44.54823
2015-01-15 20:22:13.100871,Raw FFI bindings to platform libraries like libc. ,https://docs.rs/libc/,136878114,https://github.com/rust-lang/libc,795,libc,https://github.com/rust-lang/libc,2022-09-19 13:11:59.928487
2015-07-08 01:11:24.48504,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted. ",https://docs.rs/cfg-if,136152102,https://github.com/alexcrichton/cfg-if,2556,cfg-if,https://github.com/alexcrichton/cfg-if,2020-10-06 18:44:12.67862
2016-09-03 05:42:05.484129,Quasi-quoting macro quote!(...),https://docs.rs/quote/,136041556,,6224,quote,https://github.com/dtolnay/quote,2022-08-03 03:58:22.276607
2017-07-06 01:01:58.064887,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.,https://docs.rs/proc-macro2,132493175,,22124,proc-macro2,https://github.com/dtolnay/proc-macro2,2022-09-24 22:10:15.041239
2015-04-27 01:12:08.811826,Determine whether characters have the XID_Start or XID_Continue properties according to Unicode Standard Annex #31. ,https://unicode-rs.github.io/unicode-xid,118054758,https://github.com/unicode-rs/unicode-xid,1964,unicode-xid,https://github.com/unicode-rs/unicode-xid,2022-09-15 17:14:52.826034
2014-12-05 20:20:39.487502,A generic serialization/deserialization framework,https://docs.serde.rs/serde/,114737968,https://serde.rs,463,serde,https://github.com/serde-rs/serde,2022-09-22 17:50:37.433846
2018-05-30 18:21:35.379916,Automatic cfg for Rust compiler features,,110901553,,67825,autocfg,https://github.com/cuviper/autocfg,2022-02-07 23:33:24.468119
2015-01-15 08:35:24.901276,A macro to generate structures which behave like bitflags. ,https://docs.rs/bitflags,106760348,https://github.com/bitflags/bitflags,793,bitflags,https://github.com/bitflags/bitflags,2021-08-16 04:16:02.68302
2018-10-17 10:08:22.907614,ChaCha random number generator ,https://docs.rs/rand_chacha,105024833,https://rust-random.github.io/book,91129,rand_chacha,https://github.com/rust-random/rand,2021-06-09 19:46:38.636012
2014-12-13 22:10:19.94455,A lightweight logging facade for Rust ,https://docs.rs/log,104536261,,547,log,https://github.com/rust-lang/log,2022-05-02 22:41:41.257746
