avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
4, bytes, bytes::bytes::Bytes::inc_start, core::ptr::const_ptr::add, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 514, 28
7, bytes, bytes::bytes::release_shared, bytes::bytes::release_shared::ptr, [PtrDeref], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1218, 6
1, bytes, bytes::bytes::promotable_odd_to_vec, bytes::bytes::promotable_to_vec, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1007, 4
1, bytes, bytes::bytes_mut::shared_v_clone, bytes::bytes_mut::increment_shared, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 1713, 4
3, bytes, bytes::bytes::Bytes::slice, core::ptr::const_ptr::add, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 275, 35
7, bytes, bytes::bytes::shallow_clone_arc, bytes::bytes::shallow_clone_arc::shared, [PtrDeref], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1106, 21
2, bytes, bytes::bytes::Bytes::split_off, bytes::bytes::Bytes::inc_start, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 382, 21
1, bytes, bytes::bytes::promotable_even_to_vec, bytes::bytes::promotable_to_vec, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 974, 4
5, bytes, bytes::bytes::shared_to_vec_impl, bytes::bytes::release_shared, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1090, 8
1, bytes, bytes::bytes_mut::shared_v_clone, bytes::bytes::Bytes::with_vtable, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 1716, 4
1, bytes, bytes::bytes::promotable_even_drop, bytes::bytes::free_boxed_slice, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 989, 12
5, bytes, bytes::bytes::shared_to_vec_impl, alloc::vec::Vec::from_raw_parts, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1087, 8
6, bytes, bytes::bytes_mut::rebuild_vec, alloc::vec::Vec::from_raw_parts, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 1700, 4
1, bytes, bytes::bytes::promotable_odd_clone, bytes::bytes::shallow_clone_arc, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 999, 8
8, bytes, bytes::bytes_mut::vptr, core::ptr::non_null::NonNull::new_unchecked, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 1662, 17
1, bytes, bytes::bytes_mut::shared_v_drop, CLOSURE::data::packages::src::bytes_mut::1742::18, [ClosureCreation], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 1742, 18
3, bytes, bytes::bytes_mut::BytesMut::shallow_clone, core::ptr::read, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 972, 12
7, bytes, bytes::bytes::release_shared, bytes::bytes::release_shared::ptr, [PtrDeref], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1194, 9
3, bytes, bytes::bytes::free_boxed_slice, alloc::alloc::dealloc, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1027, 4
1, bytes, bytes::bytes::static_to_vec, core::slice::raw::from_raw_parts, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 912, 16
8, bytes, bytes::buf::limit::Limit::advance_mut, bytes::buf::buf_mut::BufMut::advance_mut, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src/buf, limit.rs, 72, 19
1, bytes, bytes::bytes::promotable_odd_drop, bytes::bytes::release_shared, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1016, 12
1, bytes, bytes::bytes::promotable_even_drop, CLOSURE::data::packages::src::bytes::980::18, [ClosureCreation], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 980, 18
3, bytes, bytes::bytes_mut::BytesMut::shallow_clone, core::ptr::read, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes_mut.rs, 975, 12
2, bytes, bytes::buf::buf_impl::Buf::copy_to_slice, core::intrinsics::copy_nonoverlapping, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src/buf, buf_impl.rs, 263, 16
1, bytes, bytes::bytes::shared_drop, bytes::bytes::release_shared, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1101, 8
1, bytes, bytes::bytes::static_clone, core::slice::raw::from_raw_parts, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 907, 16
1, bytes, bytes::bytes::promotable_odd_clone, bytes::bytes::shallow_clone_vec, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1002, 8
1, bytes, bytes::bytes::promotable_odd_drop, bytes::bytes::free_boxed_slice, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1020, 12
5, bytes, bytes::bytes::shared_to_vec_impl, core::intrinsics::copy, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1085, 8
5, bytes, bytes::bytes::shared_to_vec_impl, core::slice::raw::from_raw_parts, [UnsafeCall], data/packages/hyper-0.14.27-packages/bytes-1.4.0/src, bytes.rs, 1089, 16
