crate, fn_decl, callee, effect, dir, file, line, col
hyper, hyper::proto::h1::io::Buffered::poll_read_from_io, tokio::io::read_buf::ReadBuf::filled, tokio::io::read_buf::ReadBuf::filled, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, io.rs, 268, 28
hyper, hyper::common::io::rewind::Rewind::poll_read, tokio::io::read_buf::ReadBuf::remaining, tokio::io::read_buf::ReadBuf::remaining, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/common/io, rewind.rs, 59, 58
hyper, hyper::proto::h2::ping::KeepAlive::schedule, tokio::time::sleep::Sleep::reset, tokio::time::sleep::Sleep::reset, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h2, ping.rs, 492, 36
hyper, hyper::proto::h1::role::Server::parse, httparse::Request::parse_with_uninit_headers, httparse::Request::parse_with_uninit_headers, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, role.rs, 151, 22
hyper, hyper::client::connect::http::connect, tokio::net::tcp::socket::TcpSocket::connect, tokio::net::tcp::socket::TcpSocket::connect, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 661, 25
hyper, hyper::proto::h1::role::Client::parse, bytes::bytes_mut::BytesMut::split_to, bytes::bytes_mut::BytesMut::split_to, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, role.rs, 987, 32
hyper, hyper::proto::h1::role::Server::parse, bytes::bytes_mut::BytesMut::split_to, bytes::bytes_mut::BytesMut::split_to, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, role.rs, 194, 24
hyper, hyper::server::tcp::AddrIncoming::poll_next_, tokio::time::sleep::sleep, tokio::time::sleep::sleep, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/server, tcp.rs, 237, 51
hyper, hyper::client::dispatch::UnboundedSender::send, tokio::sync::mpsc::unbounded::UnboundedSender::send, tokio::sync::mpsc::unbounded::UnboundedSender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 136, 13
hyper, hyper::server::tcp::AddrIncoming::poll_next_, tokio::net::tcp::stream::TcpStream::set_nodelay, tokio::net::tcp::stream::TcpStream::set_nodelay, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/server, tcp.rs, 219, 43
hyper, hyper::proto::h2::ping::KeepAlive::maybe_ping, tokio::time::sleep::Sleep::reset, tokio::time::sleep::Sleep::reset, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h2, ping.rs, 514, 36
hyper, hyper::client::dispatch::Callback::drop, tokio::sync::oneshot::Sender::send, tokio::sync::oneshot::Sender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 226, 31
hyper, hyper::proto::h1::io::Buffered::parse, tokio::time::sleep::Sleep::reset, tokio::time::sleep::Sleep::reset, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, io.rs, 219, 33
hyper, hyper::client::connect::http::HttpConnector::call_async, tokio::net::tcp::stream::TcpStream::set_nodelay, tokio::net::tcp::stream::TcpStream::set_nodelay, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 353, 29
hyper, hyper::proto::h1::role::parse_headers, tokio::time::sleep::Sleep::reset, tokio::time::sleep::Sleep::reset, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, role.rs, 86, 56
hyper, hyper::client::dispatch::UnboundedSender::try_send, tokio::sync::mpsc::unbounded::UnboundedSender::send, tokio::sync::mpsc::unbounded::UnboundedSender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 127, 13
hyper, hyper::client::connect::http::connect, tokio::time::timeout::timeout, tokio::time::timeout::timeout, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 664, 31
hyper, hyper::client::dispatch::Receiver::poll_recv, tokio::sync::mpsc::unbounded::UnboundedReceiver::poll_recv, tokio::sync::mpsc::unbounded::UnboundedReceiver::poll_recv, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 162, 25
hyper, hyper::client::dispatch::Callback::poll_canceled, tokio::sync::oneshot::Sender::poll_closed, tokio::sync::oneshot::Sender::poll_closed, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 250, 52
hyper, hyper::client::dispatch::Receiver::close, tokio::sync::mpsc::unbounded::UnboundedReceiver::close, tokio::sync::mpsc::unbounded::UnboundedReceiver::close, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 176, 19
hyper, hyper::client::connect::dns::GaiFuture::drop, tokio::runtime::task::join::JoinHandle::abort, tokio::runtime::task::join::JoinHandle::abort, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, dns.rs, 164, 19
hyper, hyper::client::dispatch::Callback::poll_canceled, tokio::sync::oneshot::Sender::poll_closed, tokio::sync::oneshot::Sender::poll_closed, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 251, 54
hyper, hyper::server::tcp::AddrIncoming::from_std, tokio::net::tcp::listener::TcpListener::from_std, tokio::net::tcp::listener::TcpListener::from_std, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/server, tcp.rs, 130, 23
hyper, hyper::server::tcp::AddrIncoming::from_listener, tokio::net::tcp::listener::TcpListener::local_addr, tokio::net::tcp::listener::TcpListener::local_addr, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/server, tcp.rs, 141, 28
hyper, hyper::proto::h2::H2Upgraded::poll_read, tokio::io::read_buf::ReadBuf::put_slice, tokio::io::read_buf::ReadBuf::put_slice, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h2, mod.rs, 329, 17
hyper, hyper::upgrade::Pending::fulfill, tokio::sync::oneshot::Sender::send, tokio::sync::oneshot::Sender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src, upgrade.rs, 237, 24
