crate, fn_decl, callee, effect, dir, file, line, col
android_logger, android_logger::android_log, UNKNOWN_METHOD::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 149, 20
android_logger, android_logger::android_log, UNKNOWN_METHOD::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 150, 20
android_logger, android_logger::android_log, log_ffi::__android_log_buf_write, [Unsafe], data/packages/android_logger/src, lib.rs, 146, 12
android_logger, android_logger::android_log, UNKNOWN_METHOD::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 157, 20
android_logger, android_logger::android_log, UNKNOWN_METHOD::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 158, 20
android_logger, android_logger::android_log, log_ffi::__android_log_write, [Unsafe], data/packages/android_logger/src, lib.rs, 155, 12
android_logger, android_logger::AndroidLogger::log, core::slice::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 235, 74
android_logger, android_logger::AndroidLogger::log, core::intrinsics::transmute, [Unsafe], data/packages/android_logger/src, lib.rs, 235, 49
android_logger, android_logger::AndroidLogger::log, core::ffi::c_str::CStr::from_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 235, 34
android_logger, android_logger::PlatformLogWriter::output_specified_len, core::slice::get_unchecked_mut, [Unsafe], data/packages/android_logger/src, lib.rs, 455, 24
android_logger, android_logger::PlatformLogWriter::output_specified_len, core::slice::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 458, 61
android_logger, android_logger::PlatformLogWriter::output_specified_len, core::ptr::const_ptr::cast, [Unsafe], data/packages/android_logger/src, lib.rs, 458, 70
android_logger, android_logger::PlatformLogWriter::output_specified_len, core::ffi::c_str::CStr::from_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 458, 34
android_logger, android_logger::PlatformLogWriter::output_specified_len, core::slice::get_unchecked_mut, [Unsafe], data/packages/android_logger/src, lib.rs, 461, 30
android_logger, android_logger::PlatformLogWriter::copy_bytes_to_start, core::slice::as_ptr, [Unsafe], data/packages/android_logger/src, lib.rs, 467, 39
