crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
android_logger, 11, 1, 748, 748, 2, 0, 2, 5, 272, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13, 11, 157
android_logger, 11, 1, 748, 748, 2, 0, 2, 5, 272, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13, 11, 157
android_system_properties, 5, 1, 220, 220, 1, 0, 1, 1, 42, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 3, 2, 4, 4, 49
android_system_properties, 5, 1, 220, 220, 1, 0, 1, 1, 42, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 3, 2, 4, 4, 49
anyhow, 77, 11, 3934, 3934, 46, 989, 1020, 27, 160, 160, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 3, 0, 3, 36, 18, 48, 72, 660
anyhow, 77, 11, 3934, 3934, 46, 989, 1020, 27, 160, 160, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 3, 0, 3, 36, 18, 48, 72, 660
anyhow, 77, 11, 3934, 3934, 46, 989, 1020, 27, 160, 160, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 3, 0, 3, 36, 18, 48, 72, 660
app_units, 0, 2, 423, 423, 83, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0
arbitrary, 22, 4, 2581, 2581, 39, 222, 243, 4, 373, 373, 0, 0, 0, 0, 0, 0, 6, 4, 6, 0, 0, 0, 0, 0, 0, 23, 7, 54, 58, 217
arbitrary, 22, 4, 2581, 2581, 39, 222, 243, 4, 373, 373, 0, 0, 0, 0, 0, 0, 6, 4, 6, 0, 0, 0, 0, 0, 0, 23, 7, 54, 58, 217
ashmem, 24, 1, 159, 159, 0, 0, 0, 1, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 14, 4, 83
askama, 3, 6, 1074, 1074, 9, 0, 9, 5, 331, 331, 0, 0, 0, 0, 0, 0, 4, 3, 4, 0, 0, 0, 0, 0, 0, 31, 2, 2, 4, 8
async-trait, 2, 8, 1255, 1255, 44, 46, 80, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 30
atomic_refcell, 8, 1, 506, 506, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 6, 0, 6, 13, 5, 5, 12, 54
autocfg, 40, 4, 752, 752, 57, 31, 82, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 19, 321, 24, 227
bindgen, 262, 55, 29365, 29365, 1161, 4340, 5048, 14, 315, 315, 2, 0, 2, 0, 0, 0, 120, 39, 146, 0, 0, 0, 0, 0, 0, 49, 9, 249, 366, 11659
bit-set, 3, 1, 1597, 1597, 0, 0, 0, 2, 580, 580, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 28, 5, 6, 6, 53
bit-set, 3, 1, 1597, 1597, 0, 0, 0, 2, 580, 580, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 28, 5, 6, 6, 53
bit-vec, 0, 1, 2507, 2507, 21, 21, 40, 1, 931, 931, 0, 0, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0
build-parallel, 8, 1, 222, 222, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8, 6, 216
