crate, effects
libc, 5953
wgpu-hal, 2417
wgpu-hal, 2417
qcms, 1192
hashbrown, 481
wgpu-core, 432
wgpu-core, 432
fallible_collections, 308
redox_syscall, 269
bumpalo, 264
bindgen, 262
encoding_rs, 205
ryu, 186
futures-util, 182
rayon-core, 161
bytes, 141
d3d12, 140
hyper, 130
getrandom, 127
uniffi_bindgen, 125
uniffi_bindgen, 125
uniffi_bindgen, 125
uniffi_bindgen, 125
crossbeam-epoch, 119
fs-err, 119
linked-hash-map, 117
linked-hash-map, 117
glean-core, 116
glean-core, 116
glean-core, 116
glean-core, 116
glean-core, 116
glean-core, 116
glean-core, 116
glean-core, 116
camino, 115
crossbeam-deque, 114
smallvec, 111
serde_yaml, 106
thin-vec, 105
thin-vec, 105
encoding_c, 102
crossbeam-channel, 98
memmap2, 96
generic-array, 93
serde_json, 91
serde_json, 91
ron, 83
anyhow, 77
anyhow, 77
anyhow, 77
metal, 67
servo_arc, 64
h2, 58
encoding_c_mem, 54
once_cell, 53
indexmap, 47
comedy, 45
semver, 42
semver, 42
autocfg, 40
cubeb-sys, 40
cubeb-sys, 40
cubeb-sys, 40
mozrunner, 38
os_str_bytes, 35
devd-rs, 34
serde_derive, 31
serde_derive, 31
clap_lex, 29
clap_lex, 29
crossbeam-utils, 29
wast, 28
wast, 28
wast, 28
naga, 26
naga, 26
unicode-normalization, 26
unicode-normalization, 26
unic-langid-impl, 25
ashmem, 24
rustversion, 24
cubeb-backend, 23
cubeb-backend, 23
cubeb-backend, 23
cubeb-core, 23
cubeb-core, 23
cubeb-core, 23
futures-task, 23
uniffi_macros, 23
uniffi_macros, 23
uniffi_macros, 23
uniffi_macros, 23
arbitrary, 22
arbitrary, 22
mozprofile, 22
tracing-attributes, 22
wasmparser, 22
wasmparser, 22
wasmparser, 22
futures-channel, 21
prio, 21
serde, 21
serde, 21
cssparser, 20
tracing-core, 20
log, 19
num-traits, 19
regex, 19
mozversion, 17
whatsys, 17
packed_simd_2, 16
cubeb, 14
cubeb, 14
tracy-rs, 14
gpu-descriptor, 13
inplace_it, 13
proc-macro2, 13
proc-macro2, 13
fluent-syntax, 12
android_logger, 11
android_logger, 11
tinystr, 11
tinystr, 11
wasm-smith, 11
wasm-smith, 11
wasm-smith, 11
either, 10
either, 10
fluent-fallback, 10
selectors, 10
thiserror-impl, 10
num-bigint, 9
num-bigint, 9
atomic_refcell, 8
build-parallel, 8
filetime_win, 8
fluent-testing, 7
rustc_version, 7
futures-executor, 6
futures-macro, 6
glean, 6
glean, 6
glean, 6
glean, 6
glean, 6
glean, 6
glean, 6
glean, 6
pin-project-internal, 6
scroll, 6
slab, 6
webdriver, 6
android_system_properties, 5
android_system_properties, 5
chardetng_c, 5
guid_win, 5
num-complex, 5
serde_bytes, 5
tracing, 5
futures-core, 4
goblin, 4
paste, 4
raw-window-handle, 4
askama, 3
bit-set, 3
bit-set, 3
derive_arbitrary, 3
derive_arbitrary, 3
pin-project, 3
regex-syntax, 3
rure, 3
async-trait, 2
dogear, 2
fluent-pseudo, 2
intl-memoizer, 2
origin-trial-token, 2
serde_repr, 2
thiserror, 2
unicode-ident, 2
unicode-ident, 2
weedle2, 2
weedle2, 2
wgpu-types, 2
wgpu-types, 2
cpufeatures, 1
inherent, 1
intl_pluralrules, 1
quote, 1
quote, 1
rust_decimal, 1
rust_decimal, 1
uniffi, 1
uniffi, 1
uniffi, 1
uniffi, 1
uniffi_build, 1
uniffi_build, 1
uniffi_build, 1
uniffi_build, 1
