crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
adler, 2, 2, 431, 431, 0, 0, 0, 1, 65, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 1, 14
ahash, 2, 10, 3838, 3838, 95, 250, 324, 55, 1352, 1352, 0, 0, 0, 0, 0, 0, 18, 0, 18, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 29
aho-corasick, 336, 31, 18362, 18362, 327, 1229, 1450, 46, 1180, 1180, 0, 0, 0, 0, 0, 0, 34, 91, 111, 1, 0, 1, 5, 0, 5, 208, 41, 3750, 105, 1912
alsa, 538, 17, 12225, 12225, 955, 4327, 4749, 11, 0, 11, 0, 0, 0, 0, 0, 0, 34, 12, 34, 0, 0, 0, 18, 0, 18, 646, 368, 577, 497, 1862
alsa-sys, 1312, 2, 8781, 8781, 13, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1305, 1297, 1312, 1297, 2786
android_log-sys, 7, 1, 85, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 21
arrayref, 0, 1, 500, 500, 4, 255, 255, 1, 201, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ash, 3636, 92, 136465, 136466, 1411, 5792, 6209, 1, 21, 21, 0, 0, 0, 0, 0, 0, 5377, 724, 5379, 89, 0, 89, 3112, 0, 3112, 7296, 1442, 5834, 1551, 20857
askama_derive, 121, 9, 5214, 5214, 192, 570, 673, 7, 331, 331, 55, 88, 128, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 40, 51, 1534
askama_escape, 2, 1, 238, 238, 12, 23, 32, 1, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 5, 26
askama_shared, 68, 10, 5579, 5579, 119, 82, 185, 11, 1144, 1144, 58, 88, 131, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 44, 11, 72, 51, 1494
async-task, 107, 7, 2664, 2664, 8, 9, 16, 12, 207, 207, 0, 0, 0, 0, 0, 0, 4, 5, 8, 0, 0, 0, 4, 0, 4, 18, 12, 84, 41, 1075
async-trait, 2, 8, 1255, 1255, 44, 46, 80, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 30
atomic, 32, 3, 1179, 1179, 27, 251, 258, 1, 329, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 39, 21, 32, 23, 97
audio-mixer, 2, 4, 961, 961, 12, 30, 39, 1, 259, 259, 0, 0, 0, 0, 0, 0, 7, 8, 11, 0, 0, 0, 0, 0, 0, 13, 3, 6, 3, 80
audio_thread_priority, 39, 5, 1285, 1285, 19, 369, 378, 1, 134, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 17, 88, 20, 341
authenticator, 255, 89, 18811, 18811, 396, 297, 636, 33, 4422, 4422, 10, 6, 14, 0, 0, 0, 64, 0, 64, 0, 0, 0, 3, 0, 3, 214, 91, 1220, 199, 3797
base64, 25, 21, 6404, 6404, 231, 235, 408, 12, 809, 809, 0, 0, 0, 0, 0, 0, 15, 2, 15, 0, 0, 0, 0, 0, 0, 39, 2, 4, 31, 575
binary-space-partition, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bincode, 26, 29, 7791, 7791, 190, 92, 263, 18, 108, 108, 0, 0, 0, 0, 0, 0, 62, 5, 62, 0, 0, 0, 0, 0, 0, 58, 32, 149, 323, 3068
bitflags, 0, 10, 3419, 3419, 26, 1381, 1386, 4, 1106, 1106, 0, 0, 0, 0, 0, 0, 7, 6, 7, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0
bitflags_serde_shim, 0, 1, 106, 106, 1, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bitreader, 0, 2, 770, 770, 145, 41, 179, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0
bitvec, 549, 60, 28553, 28553, 1158, 3397, 4359, 14, 1584, 1584, 0, 0, 0, 0, 0, 0, 132, 157, 243, 1, 0, 1, 18, 0, 18, 367, 278, 4208, 668, 4052
