crate, effects
winapi, 6529
libc, 5953
ash, 3636
glow, 3269
tokio, 2004
alsa-sys, 1312
memchr, 874
gleam, 710
bitvec, 549
rusqlite, 545
nix, 541
alsa, 538
socket2, 536
mio, 479
mio, 479
core-graphics, 379
aho-corasick, 336
parking_lot_core, 311
dwrote, 308
fallible_collections, 308
wasi, 294
core-foundation, 272
redox_syscall, 269
authenticator, 255
core-foundation-sys, 254
ppv-lite86, 253
miow, 235
hashlink, 206
lock_api, 195
dbus, 193
objc, 186
ryu, 186
futures-util, 182
core-text, 181
ringbuf, 172
fuchsia-zircon-sys, 143
bytes, 141
d3d12, 140
midir, 140
tempfile, 139
hyper, 130
wio, 128
getrandom, 127
httparse, 123
askama_derive, 121
crossbeam-epoch, 119
fs-err, 119
net2, 116
camino, 115
coremidi, 114
crossbeam-deque, 114
zip, 114
jobserver, 112
libdbus-sys, 112
smallvec, 111
async-task, 107
libloading, 107
libloading, 107
serde_yaml, 106
rkv, 103
winreg, 102
flate2, 100
crossbeam-channel, 98
dashmap, 96
memmap2, 96
nom, 94
nom, 94
generic-array, 93
byteorder, 92
serde_json, 91
warp, 84
ron, 83
freetype, 81
sha2, 81
crc32fast, 80
gpu-alloc, 80
libudev, 80
dtoa, 75
tokio-util, 73
fuchsia-zircon, 72
hermit-abi, 71
mach, 70
mozdevice, 69
askama_shared, 68
chrono, 68
plist, 68
metal, 67
winapi-util, 65
coremidi-sys, 63
h2, 58
lmdb-rkv-sys, 56
lmdb-rkv, 54
walkdir, 54
once_cell, 53
parking_lot, 50
minimal-lexical, 49
glob, 47
indexmap, 47
smallbitvec, 47
pkg-config, 45
http, 43
semver, 42
time, 42
time, 42
funty, 40
remove_dir_all, 40
toml, 40
audio_thread_priority, 39
object, 36
xml-rs, 36
os_str_bytes, 35
devd-rs, 34
headers, 34
darling_core, 33
termcolor, 33
atomic, 32
serde_derive, 31
clap_lex, 29
crossbeam-utils, 29
dirs, 29
bincode, 26
glslopt, 26
sha-1, 26
unicode-normalization, 26
unix_path, 26
base64, 25
ntapi, 25
iovec, 24
terminal_size, 24
cargo_metadata, 23
futures-task, 23
self_cell, 23
url, 23
rust-ini, 22
tracing-attributes, 22
clang-sys, 21
futures-channel, 21
oslog, 21
same-file, 21
serde, 21
unix_str, 21
tracing-core, 20
ffi-support, 19
regex, 19
replace_with, 17
core-graphics-types, 16
num_cpus, 16
packed_simd_2, 16
rand, 16
prost, 15
euclid, 14
data-encoding, 13
gpu-descriptor, 13
uuid, 13
num_threads, 12
webrtc-sdp, 12
mio-extras, 11
proc-macro-hack, 11
either, 10
lazycell, 10
thiserror-impl, 10
tokio-stream, 10
block-buffer, 9
clap_derive, 9
env_logger, 9
owning_ref, 9
safemem, 9
siphasher, 9
triple_buffer, 9
unicode-bidi, 9
version_check, 9
copyless, 8
dirs-sys, 8
serde_with, 8
wyz, 8
android_log-sys, 7
derive_more, 7
malloc_buf, 7
plain, 7
prost-derive, 7
time-macros, 7
futures-executor, 6
futures-macro, 6
pin-project-internal, 6
scroll, 6
slab, 6
tokio-macros, 6
itertools, 5
mime_guess, 5
qlog, 5
rand_core, 5
serde_bytes, 5
tracing, 5
try-lock, 5
codespan-reporting, 4
futures-core, 4
glsl, 4
goblin, 4
http-body, 4
moz_cbor, 4
paste, 4
scopeguard, 4
chunky-vec, 3
cose-c, 3
gl_generator, 3
libsqlite3-sys, 3
memalloc, 3
ordered-float, 3
pin-project, 3
pin-project-lite, 3
proc-macro-error, 3
regex-syntax, 3
rust_cascade, 3
shlex, 3
unicase, 3
unicode-segmentation, 3
zeitstempel, 3
adler, 2
ahash, 2
askama_escape, 2
async-trait, 2
audio-mixer, 2
cexpr, 2
dogear, 2
enumset, 2
form_urlencoded, 2
ioctl-sys, 2
lazy_static, 2
murmurhash3, 2
percent-encoding, 2
serde_repr, 2
serde_urlencoded, 2
serde_with_macros, 2
thiserror, 2
unicode-ident, 2
cookie, 1
cpufeatures, 1
dtoa-short, 1
error-chain, 1
httpdate, 1
inherent, 1
rust_decimal, 1
scoped-tls, 1
sfv, 1
type-map, 1
yaml-rust, 1
