crate, [ClosureCreation], [FFI Call], [FFI Declaration], [FnPtrCreation], [PtrDeref], [UnsafeCall], libc, std::env, std::ffi, std::fs, std::io, std::os, std::path, std::process
rand, 0, 0, 0, 1, 4, 23, 0, 0, 0, 0, 0, 0, 0, 0
syn, 0, 3, 0, 525, 8, 29, 0, 0, 0, 0, 0, 0, 0, 0
rand_core, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
libc, 0, 23, 6180, 0, 12, 133, 13, 0, 0, 0, 0, 0, 0, 0
cfg-if, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
quote, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
proc-macro2, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0
unicode-xid, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
serde, 0, 0, 0, 31, 0, 2, 0, 0, 1, 0, 0, 1, 5, 0
autocfg, 3, 0, 0, 4, 0, 0, 0, 9, 1, 3, 3, 0, 4, 24
