crate, pattern of interest, directory, file, use line
proc-macro2, std::path, experiments/packages/proc-macro2/src, lib.rs, std::path::PathBuf;
proc-macro2, std::path, experiments/packages/proc-macro2/src, wrapper.rs, std::path::PathBuf;
proc-macro2, std::path, experiments/packages/proc-macro2/src, fallback.rs, std::path::Path;
proc-macro2, std::path, experiments/packages/proc-macro2/src, fallback.rs, std::path::PathBuf;
autocfg, std::path, experiments/packages/autocfg/src, version.rs, std::path::Path;
autocfg, std::process, experiments/packages/autocfg/src, version.rs, std::process::Command;
autocfg, std::env, experiments/packages/autocfg/src, lib.rs, std::env;
autocfg, std::fs, experiments/packages/autocfg/src, lib.rs, std::fs;
autocfg, std::path, experiments/packages/autocfg/src, lib.rs, std::path::Path
autocfg, std::path, experiments/packages/autocfg/src, lib.rs, std::path::PathBuf
autocfg, std::process, experiments/packages/autocfg/src, lib.rs, std::process::Command
autocfg, std::process, experiments/packages/autocfg/src, lib.rs, std::process::Stdio
autocfg, std::env, experiments/packages/autocfg/src, tests.rs, std::env;
autocfg, std::path, experiments/packages/autocfg/src, tests.rs, std::path::Path;
cc, std::os, experiments/packages/cc/src, registry.rs, std::os::raw;
cc, std::os, experiments/packages/cc/src, registry.rs, std::os::windows::prelude::*;
cc, std::path, experiments/packages/cc/src, vs_instances.rs, std::path::PathBuf;
cc, std::env, experiments/packages/cc/src, lib.rs, std::env;
cc, std::fs, experiments/packages/cc/src, lib.rs, std::fs;
cc, std::path, experiments/packages/cc/src, lib.rs, std::path::Component
cc, std::path, experiments/packages/cc/src, lib.rs, std::path::Path
cc, std::path, experiments/packages/cc/src, lib.rs, std::path::PathBuf
cc, std::process, experiments/packages/cc/src, lib.rs, std::process::Child
cc, std::process, experiments/packages/cc/src, lib.rs, std::process::Command
cc, std::process, experiments/packages/cc/src, lib.rs, std::process::Stdio
cc, std::process, experiments/packages/cc/src, windows_registry.rs, std::process::Command;
cc, std::os, experiments/packages/cc/src, com.rs, std::os::windows::ffi::OsStrExt
cc, std::os, experiments/packages/cc/src, com.rs, std::os::windows::ffi::OsStringExt
cc, std::os, experiments/packages/cc/src, winapi.rs, std::os::raw;
cc, std::env, experiments/packages/cc/src/bin, gcc-shim.rs, std::env;
cc, std::fs, experiments/packages/cc/src/bin, gcc-shim.rs, std::fs::File;
cc, std::path, experiments/packages/cc/src/bin, gcc-shim.rs, std::path::PathBuf;
version_check, std::env, experiments/packages/version_check/src, lib.rs, std::env;
version_check, std::process, experiments/packages/version_check/src, lib.rs, std::process::Command;
clap, std::env, experiments/packages/clap/src/builder, command.rs, std::env;
clap, std::path, experiments/packages/clap/src/builder, command.rs, std::path::Path;
clap, std::env, experiments/packages/clap/src/builder, arg.rs, std::env;
num_cpus, std::fs, experiments/packages/num_cpus/src, linux.rs, std::fs::File;
num_cpus, std::path, experiments/packages/num_cpus/src, linux.rs, std::path::Path
num_cpus, std::path, experiments/packages/num_cpus/src, linux.rs, std::path::PathBuf
url, std::net, experiments/packages/url/src, host.rs, std::net::Ipv4Addr
url, std::net, experiments/packages/url/src, host.rs, std::net::Ipv6Addr
url, std::net, experiments/packages/url/src, lib.rs, std::net::IpAddr
url, std::net, experiments/packages/url/src, lib.rs, std::net::SocketAddr
url, std::net, experiments/packages/url/src, lib.rs, std::net::ToSocketAddrs
url, std::path, experiments/packages/url/src, lib.rs, std::path::Path
url, std::path, experiments/packages/url/src, lib.rs, std::path::PathBuf
mio, std::os, experiments/packages/mio/src, io_source.rs, std::os::unix::io::AsRawFd;
mio, std::os, experiments/packages/mio/src, io_source.rs, std::os::wasi::io::AsRawFd;
mio, std::os, experiments/packages/mio/src, io_source.rs, std::os::windows::io::AsRawSocket;
